Commodity,Date,Unit,Minimum,Maximum,Average
Clive Dry,2013-09-16,kg,85.0,90.0,87.5
Clive Green,2013-09-16,kg,50.0,60.0,55.0
Fish Fresh,2013-09-16,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-17,kg,35.0,40.0,37.5
Tomato Small(Local),2013-09-17,kg,35.0,40.0,37.5
Potato Red,2013-09-17,kg,31.0,32.0,31.5
Potato White,2013-09-17,kg,25.0,27.0,26.0
Onion Dry (Indian),2013-09-17,kg,100.0,105.0,102.5
Carrot(Local),2013-09-17,kg,55.0,60.0,57.5
Cabbage(Local),2013-09-17,kg,40.0,44.0,42.0
Cauli Local,2013-09-17,kg,40.0,50.0,45.0
Raddish White(Local),2013-09-17,kg,30.0,35.0,32.5
Brinjal Long,2013-09-17,kg,25.0,30.0,27.5
Brinjal Round,2013-09-17,kg,35.0,40.0,37.5
Cow pea(Long),2013-09-17,kg,45.0,50.0,47.5
French Bean(Local),2013-09-17,kg,50.0,55.0,52.5
Soyabean Green,2013-09-17,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-17,kg,30.0,35.0,32.5
Bottle Gourd,2013-09-17,kg,35.0,40.0,37.5
Pointed Gourd(Local),2013-09-17,kg,50.0,52.0,51.0
Snake Gourd,2013-09-17,kg,25.0,30.0,27.5
Smooth Gourd,2013-09-17,kg,25.0,30.0,27.5
Sponge Gourd,2013-09-17,kg,35.0,40.0,37.5
Pumpkin,2013-09-17,kg,35.0,40.0,37.5
Squash(Long),2013-09-17,kg,30.0,35.0,32.5
Okara,2013-09-17,kg,50.0,55.0,52.5
Barela,2013-09-17,kg,90.0,100.0,95.0
Arum,2013-09-17,kg,35.0,40.0,37.5
Christophine,2013-09-17,kg,12.0,14.0,13.0
Brd Leaf Mustard,2013-09-17,kg,45.0,50.0,47.5
Spinach Leaf,2013-09-17,kg,45.0,50.0,47.5
Cress Leaf,2013-09-17,kg,45.0,50.0,47.5
Mustard Leaf,2013-09-17,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-09-17,kg,45.0,50.0,47.5
Onion Green,2013-09-17,kg,45.0,50.0,47.5
Mushroom(Kanya),2013-09-17,kg,160.0,180.0,170.0
Asparagus,2013-09-17,kg,200.0,220.0,210.0
Neuro,2013-09-17,kg,50.0,60.0,55.0
Brocauli,2013-09-17,kg,140.0,150.0,145.0
Sugarbeet,2013-09-17,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-17,kg,140.0,150.0,145.0
Lettuce,2013-09-17,kg,45.0,50.0,47.5
Celery,2013-09-17,kg,120.0,130.0,125.0
Parseley,2013-09-17,kg,140.0,150.0,145.0
Fennel Leaf,2013-09-17,kg,45.0,50.0,47.5
Mint,2013-09-17,kg,140.0,150.0,145.0
Tamarind,2013-09-17,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-17,kg,65.0,70.0,67.5
Tofu,2013-09-17,kg,60.0,70.0,65.0
Gundruk,2013-09-17,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-17,kg,90.0,100.0,95.0
Banana,2013-09-17,per dozen,50.0,60.0,55.0
Lime,2013-09-17,kg,300.0,400.0,350.0
Pomegranate,2013-09-17,kg,200.0,210.0,205.0
Water Melon(Green),2013-09-17,kg,40.0,45.0,42.5
Sweet Orange,2013-09-17,kg,80.0,90.0,85.0
Pineapple,2013-09-17,per piece,70.0,80.0,75.0
Cucumber(Local),2013-09-17,kg,35.0,40.0,37.5
Papaya(Nepali),2013-09-17,kg,55.0,60.0,57.5
Guava,2013-09-17,kg,25.0,30.0,27.5
Mombin,2013-09-17,kg,25.0,30.0,27.5
Sugarcane,2013-09-17,per piece,60.0,70.0,65.0
Ginger,2013-09-17,kg,110.0,120.0,115.0
Chilli Dry,2013-09-17,kg,170.0,175.0,172.5
Chilli Green,2013-09-17,kg,55.0,60.0,57.5
Capsicum,2013-09-17,kg,110.0,120.0,115.0
Garlic Green,2013-09-17,kg,45.0,50.0,47.5
Coriander Green,2013-09-17,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-09-17,kg,115.0,120.0,117.5
Garlic Dry Nepali,2013-09-17,kg,80.0,85.0,82.5
Clive Dry,2013-09-17,kg,85.0,90.0,87.5
Clive Green,2013-09-17,kg,50.0,60.0,55.0
Fish Fresh,2013-09-17,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-19,kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-19,kg,35.0,40.0,37.5
Potato Red,2013-09-19,kg,31.0,32.0,31.5
Potato White,2013-09-19,kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-19,kg,100.0,105.0,102.5
Carrot(Local),2013-09-19,kg,50.0,55.0,52.5
Cabbage(Local),2013-09-19,kg,40.0,45.0,42.5
Cauli Local,2013-09-19,kg,40.0,50.0,45.0
Raddish White(Local),2013-09-19,kg,30.0,35.0,32.5
Brinjal Long,2013-09-19,kg,25.0,30.0,27.5
Brinjal Round,2013-09-19,kg,35.0,40.0,37.5
Cow pea(Long),2013-09-19,kg,45.0,50.0,47.5
French Bean(Local),2013-09-19,kg,40.0,45.0,42.5
Soyabean Green,2013-09-19,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-19,kg,35.0,40.0,37.5
Bottle Gourd,2013-09-19,kg,35.0,40.0,37.5
Pointed Gourd(Local),2013-09-19,kg,50.0,55.0,52.5
Snake Gourd,2013-09-19,kg,20.0,25.0,22.5
Smooth Gourd,2013-09-19,kg,30.0,35.0,32.5
Sponge Gourd,2013-09-19,kg,30.0,35.0,32.5
Pumpkin,2013-09-19,kg,35.0,40.0,37.5
Squash(Long),2013-09-19,kg,25.0,30.0,27.5
Okara,2013-09-19,kg,50.0,55.0,52.5
Barela,2013-09-19,kg,80.0,90.0,85.0
Arum,2013-09-19,kg,35.0,40.0,37.5
Christophine,2013-09-19,kg,12.0,14.0,13.0
Brd Leaf Mustard,2013-09-19,kg,45.0,50.0,47.5
Spinach Leaf,2013-09-19,kg,45.0,50.0,47.5
Cress Leaf,2013-09-19,kg,45.0,50.0,47.5
Mustard Leaf,2013-09-19,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-09-19,kg,45.0,50.0,47.5
Onion Green,2013-09-19,kg,45.0,50.0,47.5
Mushroom(Kanya),2013-09-19,kg,150.0,170.0,160.0
Asparagus,2013-09-19,kg,180.0,200.0,190.0
Neuro,2013-09-19,kg,60.0,70.0,65.0
Brocauli,2013-09-19,kg,140.0,150.0,145.0
Sugarbeet,2013-09-19,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-19,kg,140.0,150.0,145.0
Lettuce,2013-09-19,kg,45.0,50.0,47.5
Celery,2013-09-19,kg,120.0,130.0,125.0
Parseley,2013-09-19,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-19,kg,45.0,50.0,47.5
Mint,2013-09-19,kg,150.0,160.0,155.0
Tamarind,2013-09-19,kg,70.0,75.0,72.5
Bamboo Shoot,2013-09-19,kg,65.0,70.0,67.5
Tofu,2013-09-19,kg,60.0,70.0,65.0
Gundruk,2013-09-19,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-19,kg,90.0,100.0,95.0
Banana,2013-09-19,per dozen,50.0,60.0,55.0
Lime,2013-09-19,kg,300.0,400.0,350.0
Pomegranate,2013-09-19,kg,200.0,220.0,210.0
Water Melon(Green),2013-09-19,kg,40.0,45.0,42.5
Sweet Orange,2013-09-19,kg,80.0,90.0,85.0
Pineapple,2013-09-19,per piece,70.0,80.0,75.0
Cucumber(Local),2013-09-19,kg,35.0,40.0,37.5
Lemon,2013-09-19,kg,30.0,35.0,32.5
Papaya(Nepali),2013-09-19,kg,55.0,60.0,57.5
Guava,2013-09-19,kg,25.0,30.0,27.5
Mombin,2013-09-19,kg,20.0,25.0,22.5
Ginger,2013-09-19,kg,110.0,120.0,115.0
Chilli Dry,2013-09-19,kg,170.0,175.0,172.5
Chilli Green,2013-09-19,kg,60.0,70.0,65.0
Capsicum,2013-09-19,kg,90.0,100.0,95.0
Garlic Green,2013-09-19,kg,45.0,50.0,47.5
Coriander Green,2013-09-19,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-09-19,kg,115.0,120.0,117.5
Garlic Dry Nepali,2013-09-19,kg,80.0,90.0,85.0
Clive Dry,2013-09-19,kg,85.0,90.0,87.5
Clive Green,2013-09-19,kg,50.0,60.0,55.0
Fish Fresh,2013-09-19,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-20,kg,38.0,40.0,39.0
Tomato Small(Local),2013-09-20,kg,35.0,40.0,37.5
Potato Red,2013-09-20,kg,30.0,31.0,30.5
Potato White,2013-09-20,kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-20,kg,100.0,105.0,102.5
Carrot(Local),2013-09-20,kg,55.0,60.0,57.5
Cabbage(Local),2013-09-20,kg,40.0,42.0,41.0
Cauli Local,2013-09-20,kg,35.0,40.0,37.5
Raddish White(Local),2013-09-20,kg,25.0,30.0,27.5
Brinjal Long,2013-09-20,kg,25.0,30.0,27.5
Brinjal Round,2013-09-20,kg,35.0,40.0,37.5
Cow pea(Long),2013-09-20,kg,45.0,50.0,47.5
French Bean(Local),2013-09-20,kg,35.0,40.0,37.5
Soyabean Green,2013-09-20,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-20,kg,35.0,40.0,37.5
Bottle Gourd,2013-09-20,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-09-20,kg,45.0,50.0,47.5
Snake Gourd,2013-09-20,kg,25.0,30.0,27.5
Smooth Gourd,2013-09-20,kg,35.0,40.0,37.5
Sponge Gourd,2013-09-20,kg,30.0,35.0,32.5
Pumpkin,2013-09-20,kg,35.0,40.0,37.5
Squash(Long),2013-09-20,kg,20.0,25.0,22.5
Okara,2013-09-20,kg,45.0,50.0,47.5
Barela,2013-09-20,kg,70.0,80.0,75.0
Arum,2013-09-20,kg,35.0,40.0,37.5
Christophine,2013-09-20,kg,12.0,14.0,13.0
Brd Leaf Mustard,2013-09-20,kg,45.0,50.0,47.5
Spinach Leaf,2013-09-20,kg,45.0,50.0,47.5
Cress Leaf,2013-09-20,kg,45.0,50.0,47.5
Mustard Leaf,2013-09-20,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-09-20,kg,45.0,50.0,47.5
Onion Green,2013-09-20,kg,45.0,50.0,47.5
Mushroom(Kanya),2013-09-20,kg,150.0,170.0,160.0
Asparagus,2013-09-20,kg,180.0,200.0,190.0
Brocauli,2013-09-20,kg,140.0,150.0,145.0
Sugarbeet,2013-09-20,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-20,kg,140.0,150.0,145.0
Lettuce,2013-09-20,kg,45.0,50.0,47.5
Celery,2013-09-20,kg,120.0,130.0,125.0
Parseley,2013-09-20,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-20,kg,45.0,50.0,47.5
Mint,2013-09-20,kg,150.0,160.0,155.0
Tamarind,2013-09-20,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-20,kg,60.0,70.0,65.0
Tofu,2013-09-20,kg,60.0,70.0,65.0
Gundruk,2013-09-20,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-20,kg,90.0,100.0,95.0
Banana,2013-09-20,per dozen,50.0,60.0,55.0
Lime,2013-09-20,kg,300.0,400.0,350.0
Pomegranate,2013-09-20,kg,200.0,220.0,210.0
Water Melon(Green),2013-09-20,kg,60.0,65.0,62.5
Sweet Orange,2013-09-20,kg,80.0,90.0,85.0
Pineapple,2013-09-20,per piece,80.0,100.0,90.0
Cucumber(Local),2013-09-20,kg,35.0,40.0,37.5
Lemon,2013-09-20,kg,20.0,25.0,22.5
Papaya(Nepali),2013-09-20,kg,55.0,60.0,57.5
Guava,2013-09-20,kg,25.0,30.0,27.5
Mombin,2013-09-20,kg,25.0,30.0,27.5
Sugarcane,2013-09-20,per piece,60.0,70.0,65.0
Ginger,2013-09-20,kg,110.0,120.0,115.0
Chilli Dry,2013-09-20,kg,170.0,175.0,172.5
Chilli Green,2013-09-20,kg,70.0,80.0,75.0
Capsicum,2013-09-20,kg,95.0,100.0,97.5
Garlic Green,2013-09-20,kg,45.0,50.0,47.5
Coriander Green,2013-09-20,kg,80.0,100.0,90.0
Garlic Dry Chinese,2013-09-20,kg,115.0,120.0,117.5
Garlic Dry Nepali,2013-09-20,kg,80.0,85.0,82.5
Clive Dry,2013-09-20,kg,50.0,60.0,55.0
Fish Fresh,2013-09-20,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-22,kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-22,kg,30.0,35.0,32.5
Potato Red,2013-09-22,kg,31.0,35.0,33.0
Potato White,2013-09-22,kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-22,kg,100.0,105.0,102.5
Carrot(Local),2013-09-22,kg,75.0,80.0,77.5
Cabbage(Local),2013-09-22,kg,40.0,45.0,42.5
Cauli Local,2013-09-22,kg,35.0,40.0,37.5
Raddish White(Local),2013-09-22,kg,30.0,35.0,32.5
Brinjal Long,2013-09-22,kg,25.0,30.0,27.5
Brinjal Round,2013-09-22,kg,35.0,40.0,37.5
Cow pea(Long),2013-09-22,kg,40.0,45.0,42.5
French Bean(Local),2013-09-22,kg,30.0,35.0,32.5
Soyabean Green,2013-09-22,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-22,kg,30.0,35.0,32.5
Bottle Gourd,2013-09-22,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-09-22,kg,45.0,50.0,47.5
Snake Gourd,2013-09-22,kg,20.0,25.0,22.5
Smooth Gourd,2013-09-22,kg,35.0,40.0,37.5
Sponge Gourd,2013-09-22,kg,30.0,35.0,32.5
Pumpkin,2013-09-22,kg,30.0,35.0,32.5
Squash(Long),2013-09-22,kg,20.0,25.0,22.5
Okara,2013-09-22,kg,30.0,35.0,32.5
Barela,2013-09-22,kg,70.0,80.0,75.0
Arum,2013-09-22,kg,35.0,40.0,37.5
Christophine,2013-09-22,kg,12.0,14.0,13.0
Brd Leaf Mustard,2013-09-22,kg,45.0,50.0,47.5
Spinach Leaf,2013-09-22,kg,45.0,50.0,47.5
Cress Leaf,2013-09-22,kg,45.0,50.0,47.5
Mustard Leaf,2013-09-22,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-09-22,kg,45.0,50.0,47.5
Onion Green,2013-09-22,kg,45.0,50.0,47.5
Mushroom(Kanya),2013-09-22,kg,150.0,160.0,155.0
Asparagus,2013-09-22,kg,180.0,200.0,190.0
Neuro,2013-09-22,kg,50.0,60.0,55.0
Brocauli,2013-09-22,kg,140.0,150.0,145.0
Sugarbeet,2013-09-22,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-22,kg,140.0,150.0,145.0
Lettuce,2013-09-22,kg,45.0,50.0,47.5
Celery,2013-09-22,kg,120.0,130.0,125.0
Parseley,2013-09-22,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-22,kg,45.0,50.0,47.5
Mint,2013-09-22,kg,150.0,160.0,155.0
Tamarind,2013-09-22,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-22,kg,60.0,70.0,65.0
Tofu,2013-09-22,kg,60.0,70.0,65.0
Gundruk,2013-09-22,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-22,kg,90.0,100.0,95.0
Banana,2013-09-22,per dozen,50.0,60.0,55.0
Lime,2013-09-22,kg,300.0,400.0,350.0
Pomegranate,2013-09-22,kg,200.0,210.0,205.0
Water Melon(Green),2013-09-22,kg,60.0,70.0,65.0
Sweet Orange,2013-09-22,kg,80.0,90.0,85.0
Pineapple,2013-09-22,per piece,80.0,90.0,85.0
Cucumber(Local),2013-09-22,kg,30.0,35.0,32.5
Lemon,2013-09-22,kg,25.0,30.0,27.5
Papaya(Nepali),2013-09-22,kg,55.0,60.0,57.5
Guava,2013-09-22,kg,25.0,30.0,27.5
Mombin,2013-09-22,kg,20.0,25.0,22.5
Sugarcane,2013-09-22,per piece,70.0,80.0,75.0
Ginger,2013-09-22,kg,100.0,110.0,105.0
Chilli Dry,2013-09-22,kg,170.0,175.0,172.5
Chilli Green,2013-09-22,kg,60.0,70.0,65.0
Capsicum,2013-09-22,kg,90.0,100.0,95.0
Garlic Green,2013-09-22,kg,45.0,50.0,47.5
Coriander Green,2013-09-22,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-09-22,kg,110.0,115.0,112.5
Garlic Dry Nepali,2013-09-22,kg,80.0,85.0,82.5
Clive Dry,2013-09-22,kg,85.0,90.0,87.5
Clive Green,2013-09-22,kg,60.0,70.0,65.0
Fish Fresh,2013-09-22,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-23,kg,38.0,40.0,39.0
Tomato Small(Local),2013-09-23,kg,30.0,35.0,32.5
Potato Red,2013-09-23,kg,31.0,32.0,31.5
Potato White,2013-09-23,kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-23,kg,100.0,105.0,102.5
Carrot(Local),2013-09-23,kg,70.0,80.0,75.0
Cabbage(Local),2013-09-23,kg,35.0,40.0,37.5
Cauli Local,2013-09-23,kg,35.0,40.0,37.5
Raddish White(Local),2013-09-23,kg,30.0,35.0,32.5
Brinjal Long,2013-09-23,kg,25.0,30.0,27.5
Cow pea(Long),2013-09-23,kg,28.0,30.0,29.0
French Bean(Local),2013-09-23,kg,28.0,32.0,30.0
Sword Bean,2013-09-23,kg,90.0,100.0,95.0
Soyabean Green,2013-09-23,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-23,kg,30.0,35.0,32.5
Bottle Gourd,2013-09-23,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-09-23,kg,40.0,45.0,42.5
Snake Gourd,2013-09-23,kg,25.0,30.0,27.5
Smooth Gourd,2013-09-23,kg,25.0,30.0,27.5
Sponge Gourd,2013-09-23,kg,30.0,35.0,32.5
Pumpkin,2013-09-23,kg,35.0,40.0,37.5
Squash(Long),2013-09-23,kg,20.0,25.0,22.5
Okara,2013-09-23,kg,40.0,45.0,42.5
Barela,2013-09-23,kg,70.0,75.0,72.5
Arum,2013-09-23,kg,35.0,40.0,37.5
Christophine,2013-09-23,kg,12.0,14.0,13.0
Brd Leaf Mustard,2013-09-23,kg,40.0,45.0,42.5
Spinach Leaf,2013-09-23,kg,40.0,45.0,42.5
Cress Leaf,2013-09-23,kg,40.0,45.0,42.5
Mustard Leaf,2013-09-23,kg,35.0,40.0,37.5
Fenugreek Leaf,2013-09-23,kg,40.0,45.0,42.5
Onion Green,2013-09-23,kg,55.0,60.0,57.5
Mushroom(Kanya),2013-09-23,kg,150.0,160.0,155.0
Asparagus,2013-09-23,kg,180.0,200.0,190.0
Neuro,2013-09-23,kg,50.0,60.0,55.0
Brocauli,2013-09-23,kg,140.0,150.0,145.0
Sugarbeet,2013-09-23,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-23,kg,140.0,150.0,145.0
Lettuce,2013-09-23,kg,45.0,50.0,47.5
Celery,2013-09-23,kg,120.0,130.0,125.0
Parseley,2013-09-23,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-23,kg,45.0,50.0,47.5
Mint,2013-09-23,kg,150.0,160.0,155.0
Tamarind,2013-09-23,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-23,kg,60.0,70.0,65.0
Tofu,2013-09-23,kg,60.0,70.0,65.0
Gundruk,2013-09-23,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-23,kg,90.0,100.0,95.0
Banana,2013-09-23,per dozen,50.0,60.0,55.0
Lime,2013-09-23,kg,300.0,400.0,350.0
Pomegranate,2013-09-23,kg,190.0,200.0,195.0
Water Melon(Green),2013-09-23,kg,65.0,70.0,67.5
Sweet Orange,2013-09-23,kg,80.0,90.0,85.0
Pineapple,2013-09-23,per piece,80.0,90.0,85.0
Cucumber(Local),2013-09-23,kg,25.0,30.0,27.5
Lemon,2013-09-23,kg,25.0,30.0,27.5
Papaya(Nepali),2013-09-23,kg,70.0,80.0,75.0
Guava,2013-09-23,kg,25.0,30.0,27.5
Mombin,2013-09-23,kg,20.0,22.0,21.0
Sugarcane,2013-09-23,per piece,60.0,70.0,65.0
Ginger,2013-09-23,kg,90.0,100.0,95.0
Chilli Dry,2013-09-23,kg,170.0,175.0,172.5
Chilli Green,2013-09-23,kg,75.0,80.0,77.5
Capsicum,2013-09-23,kg,75.0,80.0,77.5
Garlic Green,2013-09-23,kg,55.0,60.0,57.5
Coriander Green,2013-09-23,kg,60.0,80.0,70.0
Garlic Dry Chinese,2013-09-23,kg,110.0,115.0,112.5
Garlic Dry Nepali,2013-09-23,kg,80.0,85.0,82.5
Clive Dry,2013-09-23,kg,85.0,90.0,87.5
Clive Green,2013-09-23,kg,50.0,60.0,55.0
Fish Fresh,2013-09-23,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-24,kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-24,kg,30.0,35.0,32.5
Potato Red,2013-09-24,kg,30.0,31.0,30.5
Potato White,2013-09-24,kg,28.0,29.0,28.5
Onion Dry (Indian),2013-09-24,kg,95.0,100.0,97.5
Carrot(Local),2013-09-24,kg,75.0,80.0,77.5
Cabbage(Local),2013-09-24,kg,40.0,42.0,41.0
Cauli Local,2013-09-24,kg,30.0,40.0,35.0
Raddish White(Local),2013-09-24,kg,25.0,30.0,27.5
Brinjal Long,2013-09-24,kg,25.0,30.0,27.5
Brinjal Round,2013-09-24,kg,35.0,40.0,37.5
Cow pea(Long),2013-09-24,kg,28.0,30.0,29.0
French Bean(Local),2013-09-24,kg,25.0,30.0,27.5
Sword Bean,2013-09-24,kg,90.0,100.0,95.0
Soyabean Green,2013-09-24,kg,35.0,40.0,37.5
Bitter Gourd,2013-09-24,kg,30.0,35.0,32.5
Bottle Gourd,2013-09-24,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-09-24,kg,40.0,45.0,42.5
Snake Gourd,2013-09-24,kg,25.0,30.0,27.5
Smooth Gourd,2013-09-24,kg,25.0,30.0,27.5
Sponge Gourd,2013-09-24,kg,30.0,35.0,32.5
Pumpkin,2013-09-24,kg,35.0,40.0,37.5
Squash(Long),2013-09-24,kg,15.0,20.0,17.5
Okara,2013-09-24,kg,45.0,50.0,47.5
Barela,2013-09-24,kg,60.0,70.0,65.0
Arum,2013-09-24,kg,35.0,40.0,37.5
Christophine,2013-09-24,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-09-24,kg,45.0,50.0,47.5
Spinach Leaf,2013-09-24,kg,45.0,50.0,47.5
Cress Leaf,2013-09-24,kg,45.0,50.0,47.5
Mustard Leaf,2013-09-24,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-09-24,kg,45.0,50.0,47.5
Onion Green,2013-09-24,kg,50.0,55.0,52.5
Mushroom(Kanya),2013-09-24,kg,150.0,160.0,155.0
Asparagus,2013-09-24,kg,180.0,200.0,190.0
Neuro,2013-09-24,kg,50.0,60.0,55.0
Brocauli,2013-09-24,kg,140.0,150.0,145.0
Sugarbeet,2013-09-24,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-24,kg,140.0,150.0,145.0
Lettuce,2013-09-24,kg,45.0,50.0,47.5
Celery,2013-09-24,kg,120.0,130.0,125.0
Parseley,2013-09-24,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-24,kg,45.0,50.0,47.5
Mint,2013-09-24,kg,150.0,160.0,155.0
Tamarind,2013-09-24,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-24,kg,60.0,70.0,65.0
Tofu,2013-09-24,kg,60.0,70.0,65.0
Gundruk,2013-09-24,kg,180.0,200.0,190.0
Apple(Jholey),2013-09-24,kg,90.0,100.0,95.0
Banana,2013-09-24,per dozen,50.0,55.0,52.5
Lime,2013-09-24,kg,300.0,400.0,350.0
Pomegranate,2013-09-24,kg,180.0,200.0,190.0
Orange(Nepali),2013-09-24,kg,75.0,80.0,77.5
Water Melon(Green),2013-09-24,kg,70.0,75.0,72.5
Sweet Orange,2013-09-24,kg,80.0,90.0,85.0
Pineapple,2013-09-24,per piece,80.0,90.0,85.0
Cucumber(Local),2013-09-24,kg,30.0,35.0,32.5
Papaya(Nepali),2013-09-24,kg,60.0,65.0,62.5
Guava,2013-09-24,kg,25.0,30.0,27.5
Mombin,2013-09-24,kg,20.0,25.0,22.5
Sugarcane,2013-09-24,per piece,70.0,80.0,75.0
Ginger,2013-09-24,kg,90.0,100.0,95.0
Chilli Dry,2013-09-24,kg,170.0,175.0,172.5
Chilli Green,2013-09-24,kg,60.0,65.0,62.5
Capsicum,2013-09-24,kg,90.0,100.0,95.0
Garlic Green,2013-09-24,kg,45.0,50.0,47.5
Coriander Green,2013-09-24,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-09-24,kg,110.0,115.0,112.5
Garlic Dry Nepali,2013-09-24,kg,80.0,85.0,82.5
Clive Dry,2013-09-24,kg,85.0,90.0,87.5
Clive Green,2013-09-24,kg,50.0,60.0,55.0
Fish Fresh,2013-09-24,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-09-25,kg,32.0,36.0,34.0
Tomato Small(Local),2013-09-25,kg,30.0,31.0,30.5
Potato Red,2013-09-25,kg,30.0,31.0,30.5
Potato White,2013-09-25,kg,26.0,28.0,27.0
Onion Dry (Indian),2013-09-25,kg,95.0,100.0,97.5
Carrot(Local),2013-09-25,kg,75.0,80.0,77.5
Cabbage(Local),2013-09-25,kg,35.0,40.0,37.5
Cauli Local,2013-09-25,kg,30.0,40.0,35.0
Raddish White(Local),2013-09-25,kg,30.0,35.0,32.5
Brinjal Long,2013-09-25,kg,25.0,30.0,27.5
Brinjal Round,2013-09-25,kg,25.0,30.0,27.5
Cow pea(Long),2013-09-25,kg,28.0,32.0,30.0
French Bean(Local),2013-09-25,kg,25.0,30.0,27.5
Sword Bean,2013-09-25,kg,90.0,100.0,95.0
Soyabean Green,2013-09-25,kg,30.0,35.0,32.5
Bitter Gourd,2013-09-25,kg,35.0,40.0,37.5
Bottle Gourd,2013-09-25,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-09-25,kg,40.0,45.0,42.5
Snake Gourd,2013-09-25,kg,25.0,30.0,27.5
Smooth Gourd,2013-09-25,kg,30.0,35.0,32.5
Sponge Gourd,2013-09-25,kg,30.0,35.0,32.5
Pumpkin,2013-09-25,kg,35.0,40.0,37.5
Squash(Long),2013-09-25,kg,15.0,20.0,17.5
Okara,2013-09-25,kg,30.0,35.0,32.5
Barela,2013-09-25,kg,65.0,70.0,67.5
Arum,2013-09-25,kg,35.0,40.0,37.5
Christophine,2013-09-25,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-09-25,kg,40.0,45.0,42.5
Spinach Leaf,2013-09-25,kg,40.0,45.0,42.5
Cress Leaf,2013-09-25,kg,40.0,45.0,42.5
Mustard Leaf,2013-09-25,kg,35.0,40.0,37.5
Fenugreek Leaf,2013-09-25,kg,40.0,45.0,42.5
Onion Green,2013-09-25,kg,40.0,45.0,42.5
Mushroom(Kanya),2013-09-25,kg,150.0,160.0,155.0
Neuro,2013-09-25,kg,50.0,60.0,55.0
Brocauli,2013-09-25,kg,140.0,150.0,145.0
Sugarbeet,2013-09-25,kg,50.0,60.0,55.0
Red Cabbbage,2013-09-25,kg,140.0,150.0,145.0
Lettuce,2013-09-25,kg,40.0,45.0,42.5
Celery,2013-09-25,kg,120.0,130.0,125.0
Parseley,2013-09-25,kg,150.0,160.0,155.0
Fennel Leaf,2013-09-25,kg,45.0,50.0,47.5
Mint,2013-09-25,kg,150.0,160.0,155.0
Tamarind,2013-09-25,kg,70.0,80.0,75.0
Bamboo Shoot,2013-09-25,kg,60.0,70.0,65.0
Tofu,2013-09-25,kg,60.0,70.0,65.0
